Time (s),Current (A),Voltage_Cell1 (V),Voltage_Cell2 (V),Voltage_Cell3 (V),Voltage_Cell4 (V),Voltage_Cell5 (V),Voltage_Cell6 (V),delta_I,delta_U
0.0,0.9487963914871216,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.049999999999954525,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0886549949646,nan,nan
0.10000000000013642,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0883469581604,nan,nan
0.15000000000009095,0.9359556436538696,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.20000000000004547,0.9483426213264465,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.25,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.2999999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.3500000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.40000000000009095,0.9271396994590759,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.4500000000000455,0.9398103356361389,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.5,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.5499999999999545,0.9350262880325317,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.088649749755859,nan,nan
0.6000000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.088684558868408,4.090000152587891,4.088351726531982,nan,nan
0.650000000000091,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.088314533233643,4.090000152587891,4.088648796081543,nan,nan
0.7000000000000455,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.088352680206299,nan,nan
0.75,0.9154449701309204,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.7999999999999545,0.9219422340393066,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.8500000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.900000000000091,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
0.9500000000000455,0.9090631008148193,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.0,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.0499999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.1000000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.150000000000091,0.9086213111877441,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.2000000000000455,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.25,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.2999999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.3500000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.08867883682251,4.090000152587891,4.0879998207092285,nan,nan
1.400000000000091,0.9294605851173401,4.080999851226807,4.089676856994629,4.0879998207092285,4.08832311630249,4.090000152587891,4.0879998207092285,nan,nan
1.4500000000000455,0.9420785307884216,4.080999851226807,4.089322090148926,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.5,0.9453058242797852,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.5499999999999545,0.949999988079071,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.6000000000001364,0.949999988079071,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.650000000000091,0.9176329970359802,4.080999851226807,4.089000225067139,4.0879998207092285,4.0886735916137695,4.090000152587891,4.0879998207092285,nan,nan
1.7000000000000455,0.9447822570800781,4.080999851226807,4.089000225067139,4.0879998207092285,4.088327407836914,4.090000152587891,4.0879998207092285,nan,nan
1.75,0.9321834444999695,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0886383056640625,nan,nan
1.7999999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.088363170623779,nan,nan
1.8500000000001364,0.9430204033851624,4.080326080322266,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.900000000000091,0.925000011920929,4.080672264099121,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
1.9500000000000455,0.9432535171508789,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.0,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.0499999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.1000000000001364,0.949999988079071,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.150000000000091,0.9062778353691101,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.2000000000000455,0.8999999761581421,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.25,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.2999999999999545,0.9065721035003662,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.3500000000001364,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.400000000000091,0.9181971549987793,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.4500000000000455,0.9194200038909912,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.5,0.9070374965667725,4.080999851226807,4.089000225067139,4.0879998207092285,4.088665962219238,4.090000152587891,4.0879998207092285,nan,nan
2.5499999999999545,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.089000225067139,4.090000152587891,4.0879998207092285,nan,nan
2.6000000000001364,0.9427288770675659,4.080999851226807,4.089000225067139,4.0879998207092285,4.088334560394287,4.090000152587891,4.0879998207092285,nan,nan
2.650000000000091,0.925000011920929,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.7000000000000455,0.9325757026672363,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.75,0.9451409578323364,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
2.7999999999999545,0.9077481627464294,4.080999851226807,4.089000225067139,4.0879998207092285,4.0879998207092285,4.090000152587891,4.0879998207092285,nan,nan
